,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Communality
B1,-0.3644239870277203,-0.27531142569162287,0.39266457750771955,-0.06569348642300728,-0.042615433239437624,0.19317188247571498,-0.1052941516786527,0.07782312173280163,-0.018814493185541657,0.0361919654300895,0.05167377920648587,0.04343306121287544,0.020616911528840005,0.43002258682893335
B2,-0.31959929728106534,-0.2177099626322004,0.4621789449167703,0.07928834483103979,0.049219116343691915,0.20923804815321573,-0.16379614593177888,-0.012935712677856093,0.12206613126185878,0.10450703866706415,0.1498935688248642,-0.006505331070306984,0.09673489055068851,0.5003268515849385
B3,-0.26674307717320495,-0.26696800860690395,0.4072938742231828,-0.06444735671202677,-0.010978356974749288,0.02074750260934057,-0.1897508974913626,-0.025172636209083353,0.04959362823147226,0.07238984170613434,-0.12146346627660465,0.04823690414830334,-0.07027202137256294,0.3793737431980725
B4,-0.35407218818799635,-0.14693292184658355,0.37111028896043297,-0.10595045711681124,0.0165940803161077,0.07050506452461874,-0.16005826892065306,-0.05717462318770776,0.09587190594287222,0.015453023585289735,-0.05541850811664887,-0.03782252766398132,-0.04741821492294293,0.34621911855215054
B5,-0.42628919726264103,-0.1778351928271535,0.40151272903797197,-0.05571781537905763,0.028676037543221733,0.1329426175218923,-0.16839070043846802,0.026414391727584367,0.0944477687988436,-0.04115983038240048,0.05159943855796084,-0.20105259625184255,0.15396213817124063,0.5026174859856322
B6,-0.3043773370959092,-0.2803974104923861,0.37658010629548855,0.21040864786063382,0.04529122276900262,0.21000571895788483,-0.07700350109616898,0.09359431077624063,-0.15708253128770355,0.055332277396893524,0.14385266855777545,0.017819088437704834,-0.08455382104303265,0.47409281912077106
B7,-0.23088558548288413,-0.1524347018064707,0.43039581741654387,-0.3273279570550122,0.04974439193554157,-0.10539495596133956,-0.2354641044784532,-0.007839994259611911,-0.01593569780447767,-0.04807731734499983,-0.2982380216703202,0.14809395491229374,0.030112672870749133,0.552365939323444
B8,-0.33241702455959254,-0.12199986362453026,0.3183163712541444,-0.167298195898422,0.020694477399666032,-0.042204534005215,-0.17154181642549823,-0.09927714775441518,-0.059377741695507476,0.05813490695838658,-0.16658192196935864,0.11363499145379469,-0.10244395630191559,0.35425367024340065
B9,0.06903248507796761,-0.34944583819528685,-0.17516241222846451,-0.21888950109202562,0.19639198621829912,-0.25028375023623306,0.09656598575260968,-0.09601960957285209,-0.28891804257539033,-0.16921979539037385,-0.12877785795287708,-0.18431567728225348,-0.022891182823897082,0.488417871403614
B10,0.27040286336475683,-0.5876380206657221,-0.23818036259988026,0.06178713331780794,0.17650414968407035,-0.21051982935215066,0.2349473289107484,0.13235173297366246,-0.11735468861566317,0.10215906085172508,-0.1265666014792388,0.07369411959338742,-0.05955635980535265,0.6763787133293117
